country_name,capital,capital_population
چین,پکن,20693000
هند,دهلی نو,16787949
ژاپن,توکیو,13189000
فیلیپین,مانیل,12877253
روسیه,مسکو,11541000
مصر,قاهره,10230350
اندونزی,جاکارتا,10187595
جمهوری دموکراتیک کنگو,کینشاسا,10125000
کره جنوبی,سئول,9989795
بنگلادش,داکا,8906000
مکزیک,مکزیکوسیتی,8851080
ایران,تهران,8693706
بریتانیا,لندن,8630100
پرو,لیما,8481415
تایلند,بانکوک,8249117
کلمبیا,بوگوتا,7613303
ویتنام,هانوی,7587800
هنگ کنگ(چین),هنگ کنگ,7298600
عراق,بغداد,7216040
سنگاپور,سنگاپور,5535000
ترکیه,آنکارا,5150072
شیلی,سانتیاگو,5084038
عربستان سعودی,ریاض,4878723
آلمان,برلین,3520000
سوریه,دمشق,3500000
الجزایر,الجزیره,3415811
اسپانیا,مادرید,3233527
کره شمالی,پیونگ یانگ,3144005
افغانستان,کابل,3140853
کنیا,نایروبی,3138369
یونان,آتن,3090508
اتیوپی,آدیس آبابا,3040740
آرژانتین,بوئنوس آیرس,2891082
ایتالیا,رم,2868104
اوکراین,کی یف,2847200
کامرون,یائونده,2765568
تایوان,تایپه,2686516
برزیل,برازیلیا,2648532
اردن,امان,2600603
آنگولا,لواندا,2453779
آفریقای جنوبی,پرتوریا,2345908
فرانسه,پاریس,2241346
ازبکستان,تاشکند,2207850
جمهوری آذربایجان,باکو,2204200
کوبا,هاوانا,2135498
کامبوج,پنوم پن,2011725
رومانی,بخارست,1942254
ونزوئلا,کاراکاس,1838939
مراکش,رباط,1789635
اتریش,وین,1749673
سودان,خارطوم,1740661
مجارستان,بوداپست,1729040
لهستان,ورشو,1711324
بلاروس,مینسک,1702061
اوگاندا,کامپالا,1659600
غنا,آکرا,1640507
ماداگاسکار,آنتاناناریوو,1613375
لبنان,بیروت,1574387
سوئد,استکهلم,1515017
اکوادور,کیتو,1504991
زیمبابوه,هراره,1487028
قطر,دوحه,1450000
یمن,صنعا,1431649
گینه,کوناکری,1399981
مالزی,کوالالامپور,1381830
اروگوئه,مونته ویدئو,1369797
زامبیا,لوزاکا,1331254
مالی,باماکو,1289626
جمهوری چک,پراگ,1241664
هائیتی,پورتوپرنس,1235227
لیبی,طرابلس,1184045
کویت,کویت,1171880
صربستان,بلگراد,1154589
جمهوری دومینیکن,سانتو دومینگو,1111838
سومالی,موگادیشو,1097133
بلغارستان,صوفیه,1090295
جمهوری کنگو,برازاویل,1088044
بلژیک,بروکسل,1080790
ارمنستان,ایروان,1080487
موزامبیک,ماپوتو,1076689
سیرالئون,فری تاون,1070200
جمهوری ایرلند,دوبلین,1045769
گرجستان,تفلیس,1044993
سنگال,داکار,1030594
گواتمالا,گواتمالاسیتی,1022000
لیبریا,مونروویا,1010970
بورکینافاسو,آواگادوگو,1005231
نپال,کاتماندو,1003285
پاکستان,اسلام‌آباد,955629
نیکاراگوئه,ماناگوئه,926883
میانمار,نایپیداو,925000
مغولستان,اولان باتور,907802
مالاوی,لیلونگوه,902388
کانادا,اتاوا,898150
بولیوی,لاپاز,877363
قرقیزستان,بیشکک,843240
قزاقستان,آستانه,835153
توگو,لومه,824738
پاناما,پاناماسیتی,813097
هلند,آمستردام,810909
کرواسی,زاگرب,804200
عمان,مسقط,797000
نیجر,نیامی,794814
مولداوی,کیشیناو,794800
اسرائیل,اورشلیم,780200
نیجریه,ابوجا,778567
آلبانی,تیرانا,763634
تونس,تونس,767629
ترکمنستان,عشق آباد,763537
چاد,انجامنا,751288
هندوراس,تگوسیگالپا,735982
جمهوری آفریقای مرکزی,بانگی,731548
موریتانی,نواکشوت,719167
رواندا,کیگالی,718414
لتونی,ریگا,713016
جامائیکا,کینگستون,701063
جمهوری مقدونیه شمالی,اسکوپیه,554554
ایالات متحده آمریکا,واشینگتن دی سی,658893
نروژ,اسلو,645701
فنلاند,هلسینکی,635591
امارات متحده عربی,ابوظبی,585097
تاجیکستان,دوشنبه,582496
پرتغال,لیسبون,564657
دانمارک,کپنهاگ,562253
لیتوانی,ویلنیوس,556723
گابن,لیبرویل,556425
اریتره,اسمره,1258001
السالوادور,سان سالوادور,521366
پاراگوئه,آسونسیون,520722
ماکائو (چین),ماکائو,520400
اسکاتلند,ادینبورگ,492680
جیبوتی,شهر جیبوتی,475332
ساحل عاج,یاموسوکرو,454929
گینه بیسائو,بیسائو,452640
استونی,تالین,440206
اسلواکی,براتیسلاوا,424207
پورتوریکو (ایالات متحده),سان خوآن,421356
نیوزیلند,ولینگتون,405000
بوروندی,بوجومبورا,384461
بوسنی و هرزگوین,سارایوو,383604
سودان جنوبی,جوبا,372410
استرالیا,کانبرا,354644
ولز,کاردیف,346100
ایرلند شمالی,بلفاست,333871
کاستاریکا,سان خوزه,328195
پاپوآ گینه نو,پورت مورسبی,299396
لائوس,وین تیان,287579
تانزانیا,دودوما,287200
لسوتو,ماسرو,267652
قبرس,نیکوزیا (جنوبی),270000
اسلوونی,لیوبلیانا,280140
سورینام,پاراماریبو,254147
نامیبیا,ویندهوک,252721
